Customer ID,Age,Gender,Location,Last Purchase Date,Churn
1,55,Male,Kentucky,16/6/2022,1
2,19,Male,Maine,15/8/2022,0
3,50,Male,Massachusetts,13/2/2022,1
4,21,Male,Rhode Island,21/9/2022,0
5,45,Male,Oregon,12/8/2023,0
6,46,Male,Wyoming,23/7/2022,0
7,63,Male,Montana,26/7/2022,0
8,27,Male,Louisiana,11/5/2022,1
9,26,Male,West Virginia,23/9/2023,0
10,57,Male,Missouri,20/12/2023,0
11,53,Male,Arkansas,14/2/2022,1
12,30,Male,Hawaii,4/5/2022,1
13,61,Male,Delaware,23/2/2022,1
14,65,Male,New Hampshire,23/12/2023,0
15,64,Male,New York,8/12/2023,0
16,64,Male,Rhode Island,23/9/2023,0
17,25,Male,Alabama,25/9/2023,0
18,53,Male,Mississippi,27/8/2022,0
19,52,Male,Montana,10/10/2023,0
20,66,Male,Rhode Island,2/2/2023,0
21,21,Male,Louisiana,10/4/2023,0
22,31,Male,North Carolina,1/5/2022,1
23,56,Male,California,29/11/2023,0
24,31,Male,Oklahoma,25/11/2022,0
25,18,Male,Florida,25/3/2022,1
26,18,Male,Texas,21/4/2022,1
27,38,Male,Nevada,21/4/2023,0
28,56,Male,Kentucky,14/11/2023,0
29,54,Male,North Carolina,2/5/2022,1
30,31,Male,Wyoming,21/7/2022,0
31,57,Male,North Carolina,24/11/2023,0
32,33,Male,West Virginia,5/1/2022,1
33,36,Male,Kansas,5/2/2023,0
34,54,Male,Colorado,11/2/2023,0
35,36,Male,North Dakota,6/6/2022,1
36,54,Male,Massachusetts,25/9/2022,0
37,35,Male,Illinois,10/5/2022,1
38,35,Male,Indiana,2/3/2023,0
39,29,Male,Florida,17/1/2023,0
40,70,Male,Arizona,13/5/2022,1
41,69,Male,Louisiana,17/6/2023,0
42,67,Male,Alaska,27/10/2023,0
43,20,Male,Tennessee,16/4/2022,1
44,25,Male,Ohio,28/6/2022,0
45,39,Male,Kentucky,1/4/2022,1
46,50,Male,Tennessee,26/6/2023,0
47,57,Male,California,15/12/2023,0
48,55,Male,Montana,25/3/2022,1
